Tree no.,X,Y,Elevation,Height,Ht to crown base,Ave radius * 2,Ave radius * 2,Rotation,Red,Green,Blue,CanopySurface
1,802323.00,9715174.00,0.0,30.42,15.21,2.30,2.30,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
2,802352.00,9715125.00,0.0,30.62,15.31,5.72,5.72,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
3,802352.00,9715159.00,0.0,33.41,16.70,5.16,5.16,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
4,802358.00,9715143.00,0.0,30.58,15.29,7.17,7.17,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
5,802360.00,9715205.00,0.0,30.67,15.33,4.16,4.16,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
6,802360.00,9715225.00,0.0,31.82,15.91,5.82,5.82,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
7,802361.00,9715324.00,0.0,31.87,15.93,4.35,4.35,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
8,802362.00,9715265.00,0.0,32.46,16.23,4.36,4.36,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
9,802363.00,9715117.00,0.0,32.96,16.48,6.64,6.64,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
10,802363.00,9715187.00,0.0,31.70,15.85,3.98,3.98,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
11,802364.00,9715279.00,0.0,30.37,15.18,7.76,7.76,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
12,802371.00,9715139.00,0.0,33.46,16.73,4.52,4.52,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
13,802373.00,9715226.00,0.0,33.87,16.94,3.87,3.87,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
14,802374.00,9715206.00,0.0,32.85,16.42,7.13,7.13,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
15,802375.00,9715236.00,0.0,33.27,16.63,5.62,5.62,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
16,802382.00,9715315.00,0.0,33.75,16.87,4.37,4.37,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
17,802387.00,9715175.00,0.0,33.26,16.63,6.05,6.05,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
18,802388.00,9715324.00,0.0,32.03,16.01,9.08,9.08,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
19,802389.00,9715347.00,0.0,30.79,15.40,3.57,3.57,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0002.dtm
