Tree no.,X,Y,Elevation,Height,Ht to crown base,Ave radius * 2,Ave radius * 2,Rotation,Red,Green,Blue,CanopySurface
1,802128.00,9715076.00,0.0,35.21,17.61,3.00,3.00,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
2,802138.00,9715088.00,0.0,32.45,16.23,1.53,1.53,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
3,802141.00,9715100.00,0.0,31.19,15.60,2.15,2.15,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
4,802150.00,9715111.00,0.0,31.26,15.63,2.65,2.65,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
5,802172.00,9715132.00,0.0,33.47,16.73,1.65,1.65,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
6,802175.00,9715119.00,0.0,32.68,16.34,4.09,4.09,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
7,802187.00,9715086.00,0.0,31.79,15.89,3.27,3.27,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
8,802187.00,9715118.00,0.0,37.06,18.53,4.64,4.64,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
9,802202.00,9715094.00,0.0,35.42,17.71,4.04,4.04,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
10,802218.00,9715126.00,0.0,33.45,16.72,7.15,7.15,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
11,802229.00,9715110.00,0.0,30.68,15.34,5.39,5.39,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
12,802236.00,9715144.00,0.0,34.46,17.23,7.02,7.02,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
13,802241.00,9715075.00,0.0,30.59,15.29,2.67,2.67,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
14,802242.00,9715113.00,0.0,31.13,15.57,3.21,3.21,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
15,802251.00,9715188.00,0.0,36.17,18.08,4.48,4.48,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
16,802254.00,9715086.00,0.0,30.51,15.26,3.45,3.45,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
17,802257.00,9715160.00,0.0,32.17,16.09,6.05,6.05,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
18,802258.00,9715134.00,0.0,34.63,17.31,5.24,5.24,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
19,802270.00,9715079.00,0.0,32.01,16.01,5.75,5.75,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
20,802280.00,9715103.00,0.0,32.01,16.01,7.42,7.42,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
21,802285.00,9715117.00,0.0,32.33,16.17,3.50,3.50,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
22,802285.00,9715136.00,0.0,32.54,16.27,3.78,3.78,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
23,802289.00,9715151.00,0.0,33.05,16.53,8.59,8.59,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
24,802316.00,9715118.00,0.0,35.82,17.91,5.74,5.74,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
25,802321.00,9715173.00,0.0,31.26,15.63,2.51,2.51,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0002.dtm
