Tree no.,X,Y,Elevation,Height,Ht to crown base,Ave radius * 2,Ave radius * 2,Rotation,Red,Green,Blue,CanopySurface
49,798117.00,9710686.00,0.0,35.76,17.88,6.61,6.61,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
50,798117.00,9710857.00,0.0,33.38,16.69,6.56,6.56,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
51,798124.00,9710709.00,0.0,36.08,18.04,5.26,5.26,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
52,798125.00,9710901.00,0.0,32.51,16.26,4.39,4.39,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
53,798125.00,9710919.00,0.0,31.93,15.97,6.63,6.63,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
54,798127.00,9710622.00,0.0,39.10,19.55,5.60,5.60,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
55,798128.00,9710516.00,0.0,33.20,16.60,4.99,4.99,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
56,798132.00,9710876.00,0.0,31.34,15.67,6.21,6.21,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
57,798133.00,9710603.00,0.0,35.63,17.82,7.44,7.44,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
58,798135.00,9710860.00,0.0,31.08,15.54,6.05,6.05,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
59,798136.00,9710775.00,0.0,31.94,15.97,7.53,7.53,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
60,798136.00,9710933.00,0.0,30.38,15.19,6.03,6.03,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
61,798143.00,9710560.00,0.0,33.23,16.61,3.72,3.72,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
62,798143.00,9710708.00,0.0,32.06,16.03,8.65,8.65,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
63,798143.00,9710794.00,0.0,33.38,16.69,6.22,6.22,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
64,798148.00,9710640.00,0.0,30.16,15.08,8.86,8.86,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
65,798163.00,9710879.00,0.0,36.73,18.36,7.89,7.89,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
66,798166.00,9710764.00,0.0,31.13,15.57,6.07,6.07,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
67,798167.00,9710966.00,0.0,34.20,17.10,3.08,3.08,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
68,798169.00,9710656.00,0.0,36.43,18.22,5.01,5.01,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
69,798171.00,9710955.00,0.0,34.90,17.45,4.31,4.31,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
70,798177.00,9710876.00,0.0,35.90,17.95,2.92,2.92,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
71,798188.00,9710907.00,0.0,32.01,16.00,5.07,5.07,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
72,798188.00,9710962.00,0.0,39.71,19.86,8.94,8.94,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
73,798192.00,9710813.00,0.0,32.13,16.06,6.31,6.31,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
74,798195.00,9710650.00,0.0,31.43,15.72,5.32,5.32,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
75,798196.00,9710780.00,0.0,31.95,15.97,4.32,4.32,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
76,798200.00,9710794.00,0.0,33.48,16.74,3.41,3.41,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
77,798200.00,9710983.00,0.0,35.73,17.86,6.46,6.46,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
78,798201.00,9710666.00,0.0,30.40,15.20,3.49,3.49,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
79,798210.00,9710966.00,0.0,32.11,16.06,6.69,6.69,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
80,798220.00,9710913.00,0.0,35.96,17.98,7.43,7.43,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
81,798222.00,9710833.00,0.0,34.28,17.14,7.00,7.00,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
82,798223.00,9710938.00,0.0,32.79,16.39,5.67,5.67,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
83,798224.00,9710763.00,0.0,32.94,16.47,4.37,4.37,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
84,798234.00,9710695.00,0.0,30.56,15.28,4.28,4.28,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
85,798235.00,9710658.00,0.0,33.67,16.84,5.75,5.75,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
86,798237.00,9710679.00,0.0,33.70,16.85,3.73,3.73,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
87,798239.00,9710714.00,0.0,32.48,16.24,5.12,5.12,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
88,798249.00,9710639.00,0.0,30.54,15.27,6.12,6.12,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
89,798251.00,9710671.00,0.0,30.10,15.05,3.21,3.21,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
90,798253.00,9710832.00,0.0,30.29,15.14,4.82,4.82,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
91,798254.00,9710648.00,0.0,34.70,17.35,4.87,4.87,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
92,798259.00,9710810.00,0.0,30.41,15.20,6.29,6.29,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
93,798261.00,9710850.00,0.0,33.24,16.62,3.14,3.14,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
94,798262.00,9710831.00,0.0,30.25,15.13,3.55,3.55,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
95,798270.00,9710914.00,0.0,32.84,16.42,5.90,5.90,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
96,798271.00,9710757.00,0.0,30.64,15.32,3.45,3.45,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
97,798273.00,9711028.00,0.0,31.56,15.78,2.48,2.48,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
98,798276.00,9710749.00,0.0,31.79,15.89,4.81,4.81,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
99,798277.00,9710690.00,0.0,33.82,16.91,3.96,3.96,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
100,798281.00,9711089.00,0.0,31.19,15.59,4.39,4.39,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
101,798291.00,9710753.00,0.0,30.04,15.02,4.22,4.22,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
102,798291.00,9710833.00,0.0,34.23,17.11,6.32,6.32,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
103,798297.00,9710701.00,0.0,35.90,17.95,5.28,5.28,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
104,798312.00,9710848.00,0.0,31.19,15.59,5.69,5.69,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
105,798315.00,9710825.00,0.0,30.34,15.17,3.72,3.72,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
106,798317.00,9711129.00,0.0,30.25,15.13,4.73,4.73,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
107,798318.00,9710786.00,0.0,30.71,15.35,4.77,4.77,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
108,798318.00,9711118.00,0.0,30.24,15.12,7.46,7.46,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
109,798324.00,9710771.00,0.0,32.08,16.04,7.96,7.96,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
110,798327.00,9711009.00,0.0,34.07,17.04,6.55,6.55,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
111,798327.00,9711026.00,0.0,31.64,15.82,5.58,5.58,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
112,798329.00,9710927.00,0.0,33.57,16.78,4.70,4.70,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
113,798331.00,9711120.00,0.0,32.02,16.01,4.63,4.63,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
114,798333.00,9710867.00,0.0,31.58,15.79,6.01,6.01,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
115,798335.00,9710854.00,0.0,30.94,15.47,5.88,5.88,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
116,798336.00,9710965.00,0.0,32.88,16.44,6.63,6.63,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
117,798340.00,9710847.00,0.0,30.42,15.21,5.66,5.66,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
118,798348.00,9710856.00,0.0,31.39,15.69,4.84,4.84,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
119,798348.00,9710954.00,0.0,31.98,15.99,4.89,4.89,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
120,798356.00,9711015.00,0.0,34.13,17.06,4.14,4.14,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
121,798358.00,9710872.00,0.0,33.52,16.76,6.87,6.87,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
122,798358.00,9711068.00,0.0,31.64,15.82,7.11,7.11,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
123,798362.00,9710999.00,0.0,30.74,15.37,9.24,9.24,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
124,798371.00,9710834.00,0.0,38.73,19.36,5.26,5.26,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
125,798373.00,9711032.00,0.0,30.59,15.29,2.51,2.51,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
126,798374.00,9710877.00,0.0,33.65,16.83,6.10,6.10,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
127,798375.00,9711047.00,0.0,31.32,15.66,3.56,3.56,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
128,798378.00,9710897.00,0.0,30.21,15.11,4.28,4.28,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
129,798387.00,9711043.00,0.0,30.60,15.30,4.83,4.83,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
130,798388.00,9710886.00,0.0,30.55,15.28,6.68,6.68,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
131,798390.00,9711027.00,0.0,31.45,15.72,3.57,3.57,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
132,798397.00,9711183.00,0.0,31.72,15.86,6.81,6.81,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
133,798402.00,9710906.00,0.0,35.24,17.62,4.19,4.19,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
134,798409.00,9711209.00,0.0,33.79,16.89,3.07,3.07,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
135,798412.00,9710828.00,0.0,31.73,15.87,5.23,5.23,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
136,798412.00,9710956.00,0.0,31.57,15.78,4.08,4.08,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
137,798412.00,9710973.00,0.0,30.24,15.12,4.62,4.62,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
138,798420.00,9711221.00,0.0,31.66,15.83,4.17,4.17,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
139,798421.00,9710980.00,0.0,30.76,15.38,7.86,7.86,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
140,798423.00,9710829.00,0.0,30.87,15.44,6.04,6.04,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
141,798432.00,9710876.00,0.0,32.37,16.19,4.71,4.71,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
142,798442.00,9711030.00,0.0,34.98,17.49,5.24,5.24,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
143,798445.00,9711042.00,0.0,31.39,15.70,8.62,8.62,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
144,798445.00,9711207.00,0.0,34.70,17.35,4.82,4.82,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
145,798449.00,9710929.00,0.0,32.75,16.37,2.80,2.80,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
146,798451.00,9710845.00,0.0,30.47,15.23,1.74,1.74,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
147,798454.00,9710854.00,0.0,31.44,15.72,4.88,4.88,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
148,798458.00,9711052.00,0.0,30.98,15.49,4.28,4.28,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
149,798459.00,9711070.00,0.0,30.71,15.36,3.52,3.52,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
150,798462.00,9711130.00,0.0,30.92,15.46,3.01,3.01,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
