Tree no.,X,Y,Elevation,Height,Ht to crown base,Ave radius * 2,Ave radius * 2,Rotation,Red,Green,Blue,CanopySurface
1,797870.00,9710563.00,0.0,31.39,15.69,6.23,6.23,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
2,797892.00,9710556.00,0.0,33.68,16.84,7.32,7.32,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
3,797897.00,9710684.00,0.0,30.45,15.23,3.88,3.88,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
4,797901.00,9710669.00,0.0,32.88,16.44,10.04,10.04,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
5,797903.00,9710552.00,0.0,32.00,16.00,4.19,4.19,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
6,797916.00,9710618.00,0.0,31.97,15.99,7.54,7.54,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
7,797922.00,9710685.00,0.0,32.89,16.45,4.14,4.14,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
8,797924.00,9710454.00,0.0,31.60,15.80,3.95,3.95,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
9,797932.00,9710580.00,0.0,30.44,15.22,6.66,6.66,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
10,797939.00,9710691.00,0.0,36.31,18.15,6.08,6.08,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
11,797955.00,9710565.00,0.0,31.15,15.58,4.26,4.26,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
12,797971.00,9710638.00,0.0,33.96,16.98,2.93,2.93,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
13,797972.00,9710569.00,0.0,30.28,15.14,6.67,6.67,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
14,797976.00,9710559.00,0.0,32.07,16.04,6.18,6.18,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
15,797978.00,9710651.00,0.0,30.70,15.35,4.95,4.95,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
16,797979.00,9710729.00,0.0,31.61,15.81,4.36,4.36,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
17,798001.00,9710461.00,0.0,40.47,20.24,4.70,4.70,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
18,798001.00,9710773.00,0.0,33.58,16.79,6.68,6.68,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
19,798011.00,9710795.00,0.0,32.58,16.29,5.72,5.72,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
20,798014.00,9710471.00,0.0,33.00,16.50,6.11,6.11,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
21,798016.00,9710741.00,0.0,30.72,15.36,6.99,6.99,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
22,798019.00,9710796.00,0.0,32.62,16.31,6.37,6.37,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
23,798021.00,9710680.00,0.0,31.90,15.95,6.90,6.90,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
24,798021.00,9710758.00,0.0,31.16,15.58,4.11,4.11,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
25,798024.00,9710473.00,0.0,31.01,15.50,4.16,4.16,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
26,798026.00,9710805.00,0.0,31.75,15.87,3.24,3.24,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
27,798028.00,9710494.00,0.0,34.93,17.46,3.15,3.15,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
28,798029.00,9710790.00,0.0,32.50,16.25,3.88,3.88,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
29,798032.00,9710589.00,0.0,30.86,15.43,3.67,3.67,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
30,798038.00,9710509.00,0.0,32.53,16.26,4.23,4.23,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
31,798040.00,9710804.00,0.0,32.99,16.49,7.62,7.62,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
32,798056.00,9710772.00,0.0,32.90,16.45,8.00,8.00,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
33,798062.00,9710808.00,0.0,30.74,15.37,5.07,5.07,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
34,798068.00,9710777.00,0.0,31.36,15.68,6.66,6.66,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
35,798073.00,9710750.00,0.0,30.68,15.34,3.33,3.33,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
36,798075.00,9710704.00,0.0,31.43,15.72,7.11,7.11,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
37,798075.00,9710858.00,0.0,34.09,17.04,5.94,5.94,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
38,798079.00,9710492.00,0.0,30.60,15.30,5.74,5.74,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
39,798080.00,9710523.00,0.0,34.29,17.15,3.82,3.82,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
40,798082.00,9710819.00,0.0,32.13,16.07,2.00,2.00,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
41,798085.00,9710887.00,0.0,33.56,16.78,2.54,2.54,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
42,798089.00,9710895.00,0.0,33.56,16.78,2.53,2.53,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
43,798093.00,9710639.00,0.0,34.55,17.27,5.29,5.29,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
44,798094.00,9710768.00,0.0,32.87,16.44,5.61,5.61,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
45,798096.00,9710757.00,0.0,32.95,16.47,5.75,5.75,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
46,798104.00,9710846.00,0.0,31.88,15.94,3.50,3.50,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
47,798105.00,9710539.00,0.0,33.47,16.74,7.23,7.23,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
48,798116.00,9710815.00,0.0,33.35,16.68,6.96,6.96,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0001_0001.dtm
